>SolutionNr;Position;Precpiptant;{Precpiptant};[Precpiptant];Buffer;{Buffer};[Buffer];pH;Salt;{Salt};[Salt]
"1";"1";"PEG 1500";"% w/v";"25.0";"SPG Buffer";"mM";"100";"4.0";"";"";"";"";""
"2";"2";"PEG 1500";"% w/v";"25.0";"SPG Buffer";"mM";"100";"5.0";"";"";"";"";""
"3";"3";"PEG 1500";"% w/v";"25.0";"SPG Buffer";"mM";"100";"6.0";"";"";"";"";""
"4";"4";"PEG 1500";"% w/v";"25.0";"SPG Buffer";"mM";"100";"7.0";"";"";"";"";""
"5";"5";"PEG 1500";"% w/v";"25.0";"SPG Buffer";"mM";"100";"8.0";"";"";"";"";""
"6";"6";"PEG 1500";"% w/v";"25.0";"SPG Buffer";"mM";"100";"9.0";"";"";"";"";""
"7";"7";"PEG 6000";"% w/v";"20.0";"Sodium Acetate";"mM";"100";"5.0";"Sodium Chloride";"mM";"200";"";""
"8";"8";"PEG 6000";"% w/v";"20.0";"Sodium Acetate";"mM";"100";"5.0";"Ammonium Chloride";"mM";"200";"";""
"9";"9";"PEG 6000";"% w/v";"20.0";"Sodium Acetate";"mM";"100";"5.0";"Lithium Chloride";"mM";"200";"";""
"10";"10";"PEG 6000";"% w/v";"20.0";"Sodium Acetate";"mM";"100";"5.0";"Magnesium Chloride";"mM";"200";"";""
"11";"11";"PEG 6000";"% w/v";"20.0";"Sodium Acetate";"mM";"100";"5.0";"Calcium Chloride";"mM";"200";"";""
"12";"12";"PEG 6000";"% w/v";"20.0";"Sodium Acetate";"mM";"100";"5.0";"Zinc Chloride";"mM";"10";"";""
"13";"13";"PEG 1500";"% w/v";"25.0";"MIB Buffer";"mM";"100";"4.0";"";"";"";"";""
"14";"14";"PEG 1500";"% w/v";"25.0";"MIB Buffer";"mM";"100";"5.0";"";"";"";"";""
"15";"15";"PEG 1500";"% w/v";"25.0";"MIB Buffer";"mM";"100";"6.0";"";"";"";"";""
"16";"16";"PEG 1500";"% w/v";"25.0";"MIB Buffer";"mM";"100";"7.0";"";"";"";"";""
"17";"17";"PEG 1500";"% w/v";"25.0";"MIB Buffer";"mM";"100";"8.0";"";"";"";"";""
"18";"18";"PEG 1500";"% w/v";"25.0";"MIB Buffer";"mM";"100";"9.0";"";"";"";"";""
"19";"19";"PEG 6000";"% w/v";"20.0";"MES Sodium Salt";"mM";"100";"6.0";"Sodium Chloride";"mM";"200";"";""
"20";"20";"PEG 6000";"% w/v";"20.0";"MES Sodium Salt";"mM";"100";"6.0";"Ammonium Chloride";"mM";"200";"";""
"21";"21";"PEG 6000";"% w/v";"20.0";"MES Sodium Salt";"mM";"100";"6.0";"Lithium Chloride";"mM";"200";"";""
"22";"22";"PEG 6000";"% w/v";"20.0";"MES Sodium Salt";"mM";"100";"6.0";"Magnesium Chloride";"mM";"200";"";""
"23";"23";"PEG 6000";"% w/v";"20.0";"MES Sodium Salt";"mM";"100";"6.0";"Calcium Chloride";"mM";"200";"";""
"24";"24";"PEG 6000";"% w/v";"20.0";"MES Sodium Salt";"mM";"100";"6.0";"Zinc Chloride";"mM";"10";"";""
"25";"25";"PEG 1500";"% w/v";"25.0";"TBG Buffer";"mM";"100";"4.0";"";"";"";"";""
"26";"26";"PEG 1500";"% w/v";"25.0";"TBG Buffer";"mM";"100";"5.0";"";"";"";"";""
"27";"27";"PEG 1500";"% w/v";"25.0";"TBG Buffer";"mM";"100";"6.0";"";"";"";"";""
"28";"28";"PEG 1500";"% w/v";"25.0";"TBG Buffer";"mM";"100";"7.0";"";"";"";"";""
"29";"29";"PEG 1500";"% w/v";"25.0";"TBG Buffer";"mM";"100";"8.0";"";"";"";"";""
"30";"30";"PEG 1500";"% w/v";"25.0";"TBG Buffer";"mM";"100";"9.0";"";"";"";"";""
"31";"31";"PEG 6000";"% w/v";"20.0";"HEPES Sodium Salt";"mM";"100";"5.0";"Sodium Chloride";"mM";"200";"";""
"32";"32";"PEG 6000";"% w/v";"20.0";"HEPES Sodium Salt";"mM";"100";"5.0";"Ammonium Chloride";"mM";"200";"";""
"33";"33";"PEG 6000";"% w/v";"20.0";"HEPES Sodium Salt";"mM";"100";"5.0";"Lithium Chloride";"mM";"200";"";""
"34";"34";"PEG 6000";"% w/v";"20.0";"HEPES Sodium Salt";"mM";"100";"5.0";"Magnesium Chloride";"mM";"200";"";""
"35";"35";"PEG 6000";"% w/v";"20.0";"HEPES Sodium Salt";"mM";"100";"5.0";"Calcium Chloride";"mM";"200";"";""
"36";"36";"PEG 6000";"% w/v";"20.0";"HEPES Sodium Salt";"mM";"100";"5.0";"Zinc Chloride";"mM";"10";"";""
"37";"37";"PEG 1500";"% w/v";"25.0";"MMT Buffer";"mM";"100";"4.0";"";"";"";"";""
"38";"38";"PEG 1500";"% w/v";"25.0";"MMT Buffer";"mM";"100";"5.0";"";"";"";"";""
"39";"39";"PEG 1500";"% w/v";"25.0";"MMT Buffer";"mM";"100";"6.0";"";"";"";"";""
"40";"40";"PEG 1500";"% w/v";"25.0";"MMT Buffer";"mM";"100";"7.0";"";"";"";"";""
"41";"41";"PEG 1500";"% w/v";"25.0";"MMT Buffer";"mM";"100";"8.0";"";"";"";"";""
"42";"42";"PEG 1500";"% w/v";"25.0";"MMT Buffer";"mM";"100";"9.0";"";"";"";"";""
"43";"43";"PEG 6000";"% w/v";"20.0";"Tris HCl ";"mM";"100";"6.0";"Sodium Chloride";"mM";"200";"";""
"44";"44";"PEG 6000";"% w/v";"20.0";"Tris HCl ";"mM";"100";"6.0";"Ammonium Chloride";"mM";"200";"";""
"45";"45";"PEG 6000";"% w/v";"20.0";"Tris HCl ";"mM";"100";"6.0";"Lithium Chloride";"mM";"200";"";""
"46";"46";"PEG 6000";"% w/v";"20.0";"Tris HCl ";"mM";"100";"6.0";"Magnesium Chloride";"mM";"200";"";""
"47";"47";"PEG 6000";"% w/v";"20.0";"Tris HCl ";"mM";"100";"6.0";"Calcium Chloride";"mM";"200";"";""
"48";"48";"PEG 6000";"% w/v";"20.0";"Tris HCl ";"mM";"100";"6.0";"Zinc Chloride";"mM";"10";"";""
"49";"49";"PEG 3350";"% w/v";"20.0";"";"";"";"";"Sodium Fluoride";"mM";"200";"";""
"50";"50";"PEG 3350";"% w/v";"20.0";"";"";"";"";"Sodium Bromide";"mM";"200";"";""
"51";"51";"PEG 3350";"% w/v";"20.0";"";"";"";"";"Sodium Iodide";"mM";"200";"";""
"52";"52";"PEG 3350";"% w/v";"20.0";"";"";"";"";"Potassium Thiocyanate";"mM";"200";"";""
"53";"53";"PEG 3350";"% w/v";"20.0";"";"";"";"";"Sodium Nitrate";"mM";"200";"";""
"54";"54";"PEG 3350";"% w/v";"20.0";"";"";"";"";"Sodium Formate";"mM";"200";"";""
"55";"55";"PEG 3350";"% w/v";"20.0";"";"";"";"";"Sodium Acetate";"mM";"200";"";""
"56";"56";"PEG 3350";"% w/v";"20.0";"";"";"";"";"Sodium Sulfate";"mM";"200";"";""
"57";"57";"PEG 3350";"% w/v";"20.0";"";"";"";"";"Potassium/Sodium Tartrate";"mM";"200";"";""
"58";"58";"PEG 3350";"% w/v";"20.0";"";"";"";"";"Sodium/Potassium Phosphate";"mM";"200";"";""
"59";"59";"PEG 3350";"% w/v";"20.0";"";"";"";"";"Sodium Citrate";"mM";"200";"";""
"60";"60";"PEG 3350";"% w/v";"20.0";"";"";"";"";"Sodium Malonate";"mM";"200";"";""
"61";"61";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"6.5";"Sodium Fluoride";"mM";"200";"";""
"62";"62";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"6.5";"Sodium Bromide";"mM";"200";"";""
"63";"63";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"6.5";"Sodium Iodide";"mM";"200";"";""
"64";"64";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"6.5";"Potassium Thiocyanate";"mM";"200";"";""
"65";"65";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"6.5";"Sodium Nitrate";"mM";"200";"";""
"66";"66";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"6.5";"Sodium Formate";"mM";"200";"";""
"67";"67";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"6.5";"Sodium Acetate";"mM";"200";"";""
"68";"68";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"6.5";"Sodium Sulfate";"mM";"200";"";""
"69";"69";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"6.5";"Potassium/Sodium Tartrate";"mM";"200";"";""
"70";"70";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"6.5";"Sodium/Potassium Phosphate";"mM";"200";"";""
"71";"71";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"6.5";"Sodium Citrate";"mM";"200";"";""
"72";"72";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"6.5";"Sodium Malonate";"mM";"200";"";""
"73";"73";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"7.5";"Sodium Fluoride";"mM";"200";"";""
"74";"74";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"7.5";"Sodium Bromide";"mM";"200";"";""
"75";"75";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"7.5";"Sodium Iodide";"mM";"200";"";""
"76";"76";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"7.5";"Potassium Thiocyanate";"mM";"200";"";""
"77";"77";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"7.5";"Sodium Nitrate";"mM";"200";"";""
"78";"78";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"7.5";"Sodium Formate";"mM";"200";"";""
"79";"79";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"7.5";"Sodium Acetate";"mM";"200";"";""
"80";"80";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"7.5";"Sodium Sulfate";"mM";"200";"";""
"81";"81";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"7.5";"Potassium/Sodium Tartrate";"mM";"200";"";""
"82";"82";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"7.5";"Sodium/Potassium Phosphate";"mM";"200";"";""
"83";"83";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"7.5";"Sodium Citrate";"mM";"200";"";""
"84";"84";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"7.5";"Sodium Malonate";"mM";"200";"";""
"85";"85";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"8.5";"Sodium Fluoride";"mM";"200";"";""
"86";"86";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"8.5";"Sodium Bromide";"mM";"200";"";""
"87";"87";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"8.5";"Sodium Iodide";"mM";"200";"";""
"88";"88";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"8.5";"Potassium Thiocyanate";"mM";"200";"";""
"89";"89";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"8.5";"Sodium Nitrate";"mM";"200";"";""
"90";"90";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"8.5";"Sodium Formate";"mM";"200";"";""
"91";"91";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"8.5";"Sodium Acetate";"mM";"200";"";""
"92";"92";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"8.5";"Sodium Sulfate";"mM";"200";"";""
"93";"93";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"8.5";"Potassium/Sodium Tartrate";"mM";"200";"";""
"94";"94";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"8.5";"Sodium/Potassium Phosphate";"mM";"200";"";""
"95";"95";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"8.5";"Sodium Citrate";"mM";"200";"";""
"96";"96";"PEG 3350";"% w/v";"20.0";"Bis-Tris Propane";"mM";"100";"8.5";"Sodium Malonate";"mM";"200";"";""
